DFT,MACE,num_al
-894413.9486395,-894417.7224596442,44
-894415.7441121,-894417.7720042515,44
-894418.505954,-894417.8812741879,44
-894418.5366429,-894417.8821885262,44
-894418.5430956,-894417.8830509552,44
-894418.5492081,-894417.8834630152,44
-894418.5609081,-894417.8838962198,44
-894418.5670109,-894417.8843903677,44
-894418.5693651,-894417.8851860018,44
-894418.5590497,-894417.885186004,44
-894418.5332167,-894417.8848037437,44
-894418.5604904,-894417.885247807,44
-894417.0030494,-894417.8189934616,44
-894418.5609006,-894417.8852695033,44
-894418.5614428,-894417.8853351607,44
-894418.5615566,-894417.8853639788,44
-894418.5619394,-894417.885392195,44
-894418.5623243,-894417.8854302042,44
-894418.5627476,-894417.8854935786,44
-894418.5627879,-894417.8855443952,44
-894418.5629761,-894417.8855623624,44
-894418.5631454,-894417.885588239,44
-894418.5632513,-894417.8856185204,44
-894417.5594528,-894417.831995528,44
-894418.5633491,-894417.885656218,44
-894418.5634213,-894417.885691725,44
-894418.5629892,-894417.885703123,44
-894417.761629,-894417.8400344913,44
-894417.9174246,-894417.8446546166,44
-894418.0685207,-894417.8508465642,44
-894418.2951023,-894417.8607061595,44
-894418.3791685,-894417.8720378092,44
-894418.4742276,-894417.8776714709,44
-894414.1628012,-894417.7307048966,44
-894415.6699585,-894417.7673210104,44
-894418.5653815,-894417.8705180198,44
-894418.5805482,-894417.8750345501,44
-894418.5823657,-894417.8771154461,44
-894418.5918777,-894417.8777194286,44
-894418.5950625,-894417.8785450087,44
-894418.5976238,-894417.8788100419,44
-894418.6000112,-894417.8796197567,44
-894418.6032657,-894417.8809391998,44
-894418.6006462,-894417.8809392017,44
-894418.5836902,-894417.8819155709,44
-894416.3989611,-894417.7988642592,44
-894418.6011995,-894417.8813007888,44
-894418.6018016,-894417.8814007449,44
-894418.6023945,-894417.8815986289,44
-894418.6028843,-894417.8817715042,44
-894418.6032177,-894417.8819773324,44
-894418.6035154,-894417.8821608479,44
-894418.6039651,-894417.8823277008,44
-894418.6041809,-894417.8824919622,44
-894418.6044327,-894417.8826484592,44
-894418.6045355,-894417.8827610203,44
-894417.0346931,-894417.8146266501,44
-894418.6046361,-894417.8827949959,44
-894418.6053701,-894417.8828273993,44
-894418.605442,-894417.8828737666,44
-894418.6055073,-894417.8829653473,44
-894418.605601,-894417.8830570442,44
-894418.6056759,-894417.8831392945,44
-894418.6057083,-894417.883220784,44
-894418.605739,-894417.8833184027,44
-894418.6057687,-894417.8834341343,44
-894418.6057941,-894417.8835443258,44
-894417.8265121,-894417.8330532874,44
-894418.6058108,-894417.883638639,44
-894418.6052596,-894417.8836617838,44
-894418.2373009,-894417.8466434159,44
-894418.376041,-894417.8511870484,44
-894418.4690848,-894417.855560663,44
-894418.5163888,-894417.8602259762,44
-894418.5481088,-894417.8648267522,44
-894414.0287748,-894417.7206882305,44
-894415.3938022,-894417.7687189418,44
-894418.5214859,-894417.8750143689,44
-894418.5395268,-894417.8778687012,44
-894418.5528902,-894417.8808110154,44
-894418.563489,-894417.8834124384,44
-894418.568229,-894417.883613748,44
-894418.5697125,-894417.8839130106,44
-894418.570371,-894417.8841885657,44
-894418.5711028,-894417.8844802625,44
-894418.5659634,-894417.8844802647,44
-894418.5659634,-894417.8844802647,44
-894416.9873877,-894417.8224378306,44
-894418.5388738,-894417.8839877921,44
-894418.5651628,-894417.88450217,44
-894418.566193,-894417.8844990939,44
-894418.5662829,-894417.8845433864,44
-894418.5663978,-894417.8845878422,44
-894418.5665777,-894417.8846184805,44
-894418.5666778,-894417.8846618193,44
-894418.5668425,-894417.884719612,44
-894418.5669809,-894417.8847671112,44
-894418.5670627,-894417.8848187629,44
-894417.1820701,-894417.8258277929,44
-894418.5671309,-894417.8848746959,44
-894418.56715,-894417.884931136,44
-894418.5668291,-894417.8849449124,44
-894417.3933129,-894417.832026704,44
-894417.9186125,-894417.8467439198,44
-894418.1876877,-894417.856731739,44
-894418.2702233,-894417.8625624308,44
-894418.3938247,-894417.8666323312,44
-894418.485911,-894417.8738012974,44
-940189.5022873,-940193.1799055982,43
-940190.7433923,-940193.2172561216,43
-940193.9625898,-940193.3187742712,43
-940193.969401,-940193.318884965,43
-940193.9773791,-940193.318474419,43
-940193.9797805,-940193.3177784776,43
-940193.9799338,-940193.3172386511,43
-940193.9819796,-940193.3171745689,43
-940193.9830087,-940193.3168429609,43
-940193.9833842,-940193.3165335341,43
-940193.9862196,-940193.316533532,43
-940193.9587063,-940193.3160402483,43
-940193.0819992,-940193.2768622009,43
-940193.985775,-940193.3165222738,43
-940193.986756,-940193.3165443426,43
-940193.9869327,-940193.3164631894,43
-940193.9870716,-940193.3164569401,43
-940193.9872701,-940193.3164459424,43
-940193.9874216,-940193.3164395278,43
-940193.9874818,-940193.3164188167,43
-940193.987524,-940193.3163551874,43
-940193.9875555,-940193.3162797084,43
-940193.9860271,-940193.3162745495,43
-940193.4510669,-940193.2837643132,43
-940193.5494797,-940193.2912897974,43
-940193.7096151,-940193.3055668459,43
-940193.7833622,-940193.3165180795,43
-940193.8761347,-940193.317904904,43
-940193.9328616,-940193.3183043282,43
-940193.9581843,-940193.3178960952,43
-940189.2380671,-940193.1920264276,43
-940191.4094553,-940193.2365878781,43
-940193.9798273,-940193.3240921936,43
-940193.9924677,-940193.3255968229,43
-940194.0156315,-940193.3269834248,43
-940194.0170146,-940193.3280255956,43
-940194.0216136,-940193.3283102745,43
-940194.0294803,-940193.3285036194,43
-940194.0314635,-940193.3290237734,43
-940194.0256614,-940193.3290237751,43
-940194.0065062,-940193.3287148183,43
-940194.0294569,-940193.3291239816,43
-940192.3536151,-940193.2823952655,43
-940194.0298756,-940193.3291709275,43
-940194.0305557,-940193.3292429064,43
-940194.031104,-940193.329336731,43
-940194.0314805,-940193.3294323417,43
-940194.0317385,-940193.3295135442,43
-940194.0319821,-940193.329602469,43
-940194.0321047,-940193.3296685403,43
-940194.0322142,-940193.329740169,43
-940194.032282,-940193.3297555537,43
-940194.031158,-940193.3297753229,43
-940192.7736566,-940193.2908519789,43
-940194.0312187,-940193.3298055578,43
-940194.0311354,-940193.3298306379,43
-940194.0311567,-940193.3298761116,43
-940194.0312092,-940193.3299091249,43
-940194.0312388,-940193.3299394931,43
-940194.0312637,-940193.3299667467,43
-940194.0312757,-940193.3299969832,43
-940194.0312973,-940193.3300336354,43
-940194.0313178,-940193.3300741111,43
-940194.0256614,-940193.3290237734,43
-940192.9709063,-940193.296064195,43
-940194.0256614,-940193.3290237734,43
-940194.0065062,-940193.3287148183,43
-940194.0256614,-940193.3290237734,43
-940194.0065062,-940193.3287148183,43
-940194.0294569,-940193.32912398,43
-940194.0298756,-940193.3291709259,43
-940194.0305557,-940193.329242908,43
-940194.031104,-940193.329336731,43
-940194.0314805,-940193.3294323401,43
-940194.0317385,-940193.3295135442,43
-940193.3009107,-940193.3019805228,43
-940194.0319821,-940193.3296024674,43
-940194.0321047,-940193.3296685402,43
-940194.0322142,-940193.3297401672,43
-940194.032282,-940193.3297555521,43
-940194.031158,-940193.3297753213,43
-940194.0312187,-940193.3298055578,43
-940194.0311354,-940193.3298306379,43
-940194.0311567,-940193.3298761116,43
-940194.0312092,-940193.3299091249,43
-940194.0312388,-940193.3299394947,43
-940193.5428028,-940193.3105380331,43
-940194.0312637,-940193.3299667466,43
-940194.0312757,-940193.3299969833,43
-940194.0312973,-940193.3300336354,43
-940194.0313178,-940193.3300741112,43
-940194.0313339,-940193.3301151713,43
-940194.0310152,-940193.3301151696,43
-940193.8315653,-940193.3178767359,43
-940193.8978487,-940193.3205517736,43
-940193.9460513,-940193.3231622063,43
-940189.8258496,-940193.1875335963,43
-940191.3451522,-940193.2234840071,43
-940193.9194117,-940193.3009636179,43
-940193.9248705,-940193.3037218786,43
-940193.9307743,-940193.3045949487,43
-940193.9428942,-940193.3059811845,43
-940193.9466948,-940193.3074474386,43
-940193.9509436,-940193.3086520855,43
-940193.9541674,-940193.3092274718,43
-940193.9552749,-940193.3101665007,43
-940193.9570185,-940193.3101665007,43
-940193.9347118,-940193.3103723585,43
-940192.8227042,-940193.2613001921,43
-940193.9586343,-940193.3103425468,43
-940193.9589706,-940193.3103850788,43
-940193.9594092,-940193.310427421,43
-940193.959857,-940193.3105262262,43
-940193.960148,-940193.3106057426,43
-940193.960412,-940193.3107080777,43
-940193.9605093,-940193.3107856213,43
-940193.9608026,-940193.3108090394,43
-940193.9608874,-940193.3108412944,43
-940193.9609425,-940193.3108996247,43
-940193.0773598,-940193.264726283,43
-940193.961041,-940193.310950621,43
-940193.961079,-940193.3110158638,43
-940193.9609027,-940193.3110341175,43
-940193.3942219,-940193.2720649438,43
-940193.629913,-940193.2790202945,43
-940193.7686245,-940193.2853953687,43
-940193.8359743,-940193.291338495,43
-940193.8559948,-940193.2970034583,43
-940193.901948,-940193.2986563924,43
-985964.5555407,-985968.6468462468,42
-985966.1634724,-985968.6838142404,42
-985969.3061728,-985968.767457339,42
-985969.3314616,-985968.7670695006,42
-985969.3478713,-985968.7670021964,42
-985969.3783509,-985968.7683339177,42
-985969.4009659,-985968.7697789852,42
-985969.4066924,-985968.7713859113,42
-985969.4003865,-985968.7713859131,42
-985969.3857133,-985968.7707864796,42
-985969.404775,-985968.7714154231,42
-985969.4064266,-985968.7713777797,42
-985967.1163351,-985968.7234760165,42
-985969.4072289,-985968.7712714393,42
-985969.4075269,-985968.7712401774,42
-985969.4081372,-985968.7711863815,42
-985969.4086507,-985968.7710953279,42
-985969.4093749,-985968.771064051,42
-985969.4097873,-985968.7710236469,42
-985969.409917,-985968.770944597,42
-985969.4099283,-985968.7708792208,42
-985969.4100419,-985968.7708607907,42
-985969.410076,-985968.7708394399,42
-985967.8702209,-985968.7394195627,42
-985969.4101841,-985968.7708136943,42
-985969.410244,-985968.770763424,42
-985969.4102584,-985968.7706985545,42
-985969.410858,-985968.7706878899,42
-985968.3612304,-985968.7472034978,42
-985968.8700252,-985968.7570147697,42
-985969.0734907,-985968.7621590114,42
-985969.1690343,-985968.7639724554,42
-985969.2385065,-985968.7659588343,42
-985969.2754972,-985968.766970947,42
-985965.0741241,-985968.6868715761,42
-985966.7637208,-985968.7214605034,42
-985969.4035943,-985968.7914991651,42
-985969.4315346,-985968.7923683578,42
-985969.443702,-985968.792786794,42
-985969.4611509,-985968.7934494576,42
-985969.4718088,-985968.7939569049,42
-985969.4741253,-985968.7944873548,42
-985969.4760244,-985968.7946727934,42
-985969.4778633,-985968.7947590784,42
-985969.4696863,-985968.7947590784,42
-985969.4521683,-985968.7948499782,42
-985967.7298826,-985968.751155953,42
-985969.4702194,-985968.7948866123,42
-985969.4707363,-985968.7949063752,42
-985969.4715362,-985968.794952689,42
-985969.4720985,-985968.7950211305,42
-985969.4730477,-985968.7950630157,42
-985969.4735362,-985968.7951437783,42
-985969.4741466,-985968.7952021842,42
-985969.47449,-985968.7952547058,42
-985969.4747537,-985968.7952725872,42
-985969.474917,-985968.7953187687,42
-985967.9105495,-985968.7544129044,42
-985969.4751552,-985968.7953566478,42
-985969.4752626,-985968.7954073453,42
-985969.4753858,-985968.7954247114,42
-985969.4754592,-985968.7954748941,42
-985969.4755209,-985968.7955239932,42
-985969.4756015,-985968.7955713635,42
-985969.4756554,-985968.7956120084,42
-985969.475717,-985968.7956587557,42
-985969.4757441,-985968.7957140567,42
-985969.4757521,-985968.7957791068,42
-985968.4668566,-985968.7659780111,42
-985969.4696863,-985968.7947590802,42
-985969.4521683,-985968.7948499782,42
-985969.4702194,-985968.7948866141,42
-985969.4707363,-985968.794906377,42
-985969.4715362,-985968.7949526907,42
-985969.4720985,-985968.7950211288,42
-985969.4730477,-985968.7950630157,42
-985969.4735362,-985968.7951437784,42
-985969.4741466,-985968.7952021859,42
-985969.47449,-985968.7952547076,42
-985968.996042,-985968.7780492584,42
-985969.4747537,-985968.7952725888,42
-985969.474917,-985968.7953187703,42
-985969.4751552,-985968.7953566478,42
-985969.4752626,-985968.7954073435,42
-985969.4753858,-985968.7954247114,42
-985969.4754592,-985968.7954748941,42
-985969.4755209,-985968.7955239932,42
-985969.4756015,-985968.7955713618,42
-985969.4756554,-985968.7956120067,42
-985969.475717,-985968.7956587557,42
-985969.1883068,-985968.7834507446,42
-985969.4757441,-985968.7957140568,42
-985969.4757521,-985968.7957791049,42
-985969.4747051,-985968.7957987816,42
-985969.2597728,-985968.7866407674,42
-985969.3715843,-985968.7905072918,42
-985969.3879929,-985968.7908557898,42
-985964.6934365,-985968.6523115975,42
-985965.9041794,-985968.686963829,42
-985969.4706306,-985968.7700860179,42
-985969.4923494,-985968.7704100148,42
-985969.5075086,-985968.7706082081,42
-985969.5118932,-985968.7702789075,42
-985969.5146493,-985968.769761838,42
-985969.5149146,-985968.7685621873,42
-985969.5174096,-985968.7685081598,42
-985969.5098035,-985968.7685081618,42
-985969.5098035,-985968.7685081598,42
-985969.4869585,-985968.7680973213,42
-985966.7705168,-985968.7191905535,42
-985969.5106841,-985968.7685346019,42
-985969.5112202,-985968.7685348295,42
-985969.511333,-985968.7685212669,42
-985969.5116003,-985968.7685181202,42
-985969.5118661,-985968.768525303,42
-985969.5121693,-985968.7685286447,42
-985969.512289,-985968.7685333783,42
-985969.5124905,-985968.7685176259,42
-985969.512592,-985968.7684993359,42
-985969.5126105,-985968.7684789016,42
-985968.2082018,-985968.7443481804,42
-985969.5131657,-985968.7684744782,42
-985968.5184812,-985968.7528495822,42
-985968.9811422,-985968.7622181955,42
-985969.1843372,-985968.7632088694,42
-985969.322648,-985968.7654862993,42
-985969.4003581,-985968.7672765463,42
-985969.4491472,-985968.7692427809,42
-1031739.940786,-1031744.1243345836,41
-1031741.344321,-1031744.1560122237,41
-1031744.864956,-1031744.2345020476,41
-1031744.882313,-1031744.2354579213,41
-1031744.894821,-1031744.237527523,41
-1031744.898635,-1031744.2378897227,41
-1031744.905362,-1031744.2379183848,41
-1031744.908242,-1031744.2376545882,41
-1031744.910283,-1031744.23723955,41
-1031744.911251,-1031744.2367352298,41
-1031744.9052,-1031744.2367352298,41
-1031744.876014,-1031744.2361880876,41
-1031743.467577,-1031744.2026602983,41
-1031744.905882,-1031744.2367607178,41
-1031744.906656,-1031744.236774826,41
-1031744.907585,-1031744.2367935968,41
-1031744.908317,-1031744.2367833399,41
-1031744.908699,-1031744.2367495951,41
-1031744.908733,-1031744.2367459591,41
-1031744.908756,-1031744.2367409347,41
-1031744.908848,-1031744.2367325552,41
-1031744.908444,-1031744.2367280356,41
-1031743.579566,-1031744.2069739416,41
-1031744.056976,-1031744.2166390881,41
-1031744.412848,-1031744.2242908744,41
-1031744.582156,-1031744.2299334285,41
-1031744.728121,-1031744.2335169117,41
