Step,Energy,RMSD
-1,-1672600.7304719978,0.021402874775526878
0,-1672600.723730417,0.021402874775526878
1,-1672600.715233209,0.010796504695304023
2,-1672600.7082055293,0.010796504695304023
3,-1672600.7132734042,0.010796504695304023
4,-1672600.7219139778,0.010796504695304023
5,-1672600.731789703,0.010796504695304023
6,-1672600.7390429056,0.010796504695304023
7,-1672600.733242745,0.010796504695304023
8,-1672600.7305259516,0.010796504695304023
9,-1672600.7346937924,0.010796504695304023
10,-1672600.7342663708,0.010796504695304023
11,-1672600.7351862793,0.010796504695304023
12,-1672600.7334369875,0.010796504695304023
13,-1672600.7293491913,0.010796504695304023
14,-1672600.7297245534,0.010796504695304023
15,-1672600.7229982323,0.010796504695304023
16,-1672600.7288002705,0.010796504695304023
17,-1672600.7222155775,0.010796504695304023
18,-1672600.720926698,0.010796504695304023
19,-1672600.727476089,0.010796504695304023
20,-1672600.7704200682,0.010796504695304023
21,-1672600.737834296,0.010796504695304023
22,-1672600.7426264954,0.010796504695304023
23,-1672600.744346677,0.010796504695304023
24,-1672600.7450617396,0.010796504695304023
25,-1672600.7499700272,0.010796504695304023
26,-1672600.7503778527,0.010796504695304023
27,-1672600.7432591415,0.010796504695304023
28,-1672600.7420536408,0.010796504695304023
29,-1672600.742479202,0.010796504695304023
30,-1672600.7402501109,0.010796504695304023
31,-1672600.734860226,0.010796504695304023
32,-1672600.7364627218,0.010796504695304023
33,-1672600.739352247,0.010796504695304023
34,-1672600.7432520704,0.010796504695304023
35,-1672600.7442061873,0.010796504695304023
36,-1672600.7369021927,0.010796504695304023
37,-1672600.7418293052,0.010796504695304023
38,-1672600.7404885336,0.010796504695304023
39,-1672600.7387624693,0.010796504695304023
40,-1672600.728582479,0.010796504695304023
41,-1672600.7260872177,0.010796504695304023
42,-1672600.7183743343,0.010796504695304023
43,-1672600.7244088054,0.010796504695304023
44,-1672600.730434992,0.010796504695304023
45,-1672600.7327066376,0.010796504695304023
46,-1672600.7286210335,0.010796504695304023
47,-1672600.7275026636,0.010796504695304023
48,-1672600.7259513082,0.010796504695304023
49,-1672600.7256650701,0.010796504695304023
50,-1672600.7161690982,0.010796504695304023
51,-1672600.7006709077,0.016575571944128873
52,-1672600.7025654279,0.016575571944128873
53,-1672600.7119180555,0.016575571944128873
54,-1672600.7508702003,0.016575571944128873
55,-1672600.7024148547,0.016575571944128873
56,-1672600.7065356306,0.016575571944128873
57,-1672600.7020974716,0.016575571944128873
58,-1672600.7017178945,0.016575571944128873
59,-1672600.7169032374,0.016575571944128873
60,-1672600.722072152,0.016575571944128873
61,-1672600.708872692,0.016575571944128873
62,-1672600.7077370773,0.016575571944128873
63,-1672600.7101994231,0.016575571944128873
64,-1672600.7122850253,0.016575571944128873
65,-1672600.7159945364,0.016575571944128873
66,-1672600.7165172258,0.016575571944128873
67,-1672600.7128813304,0.016575571944128873
68,-1672600.7772039995,0.016575571944128873
69,-1672600.7180688689,0.016575571944128873
70,-1672600.7299984065,0.016575571944128873
71,-1672600.7275455603,0.016575571944128873
72,-1672600.7189450827,0.016575571944128873
73,-1672600.7207884642,0.016575571944128873
74,-1672600.7186105696,0.016575571944128873
75,-1672600.729725645,0.016575571944128873
76,-1672600.7171198265,0.016575571944128873
77,-1672600.7104261855,0.016575571944128873
78,-1672600.708019079,0.016575571944128873
79,-1672600.6958746107,0.016575571944128873
80,-1672600.7014756673,0.016575571944128873
81,-1672600.7107020959,0.016575571944128873
82,-1672600.7148613404,0.016575571944128873
83,-1672600.7086919248,0.016575571944128873
84,-1672600.7115003522,0.016575571944128873
85,-1672600.7017269605,0.016575571944128873
86,-1672600.7129135751,0.016575571944128873
87,-1672600.72236139,0.016575571944128873
88,-1672600.7206858601,0.016575571944128873
89,-1672600.7210037601,0.016575571944128873
90,-1672600.707044254,0.016575571944128873
91,-1672600.6986940454,0.016575571944128873
92,-1672600.748984819,0.016575571944128873
93,-1672600.7152863673,0.016575571944128873
94,-1672600.7166293736,0.016575571944128873
95,-1672600.7219346154,0.016575571944128873
96,-1672600.7310956717,0.016575571944128873
97,-1672600.7276625333,0.016575571944128873
98,-1672600.7261895684,0.016575571944128873
99,-1672600.72615265,0.016575571944128873
100,-1672600.7347461388,0.016575571944128873
101,-1672600.7329665555,0.012869317705571022
102,-1672600.733109583,0.012869317705571022
103,-1672600.7421274197,0.012869317705571022
104,-1672600.7328883077,0.012869317705571022
105,-1672600.7221343934,0.012869317705571022
106,-1672600.7123971262,0.012869317705571022
107,-1672600.7231690988,0.012869317705571022
108,-1672600.7376922509,0.012869317705571022
109,-1672600.7421358482,0.012869317705571022
110,-1672600.7367808863,0.012869317705571022
111,-1672600.732451536,0.012869317705571022
112,-1672600.7378417777,0.012869317705571022
113,-1672600.7319750774,0.012869317705571022
114,-1672600.7380858602,0.012869317705571022
115,-1672600.7312566587,0.012869317705571022
116,-1672600.7240217954,0.012869317705571022
