DFT,MACE,num_al
-894413.9486395,-894417.7145508918,44
-894415.7441121,-894417.7712461607,44
-894418.505954,-894417.8978092219,44
-894418.5366429,-894417.8987249351,44
-894418.5430956,-894417.8994788603,44
-894418.5492081,-894417.8998245123,44
-894418.5609081,-894417.9000582534,44
-894418.5670109,-894417.9002371323,44
-894418.5693651,-894417.9005726716,44
-894418.5590497,-894417.9005726716,44
-894418.5332167,-894417.9000530868,44
-894418.5604904,-894417.9005862066,44
-894417.0030494,-894417.8260020375,44
-894418.5609006,-894417.9005798124,44
-894418.5614428,-894417.9005432136,44
-894418.5615566,-894417.9005500962,44
-894418.5619394,-894417.9005392684,44
-894418.5623243,-894417.9005291637,44
-894418.5627476,-894417.900522181,44
-894418.5627879,-894417.9005306803,44
-894418.5629761,-894417.9005312416,44
-894418.5631454,-894417.9005192723,44
-894418.5632513,-894417.9005052417,44
-894417.5594528,-894417.8399442876,44
-894418.5633491,-894417.9005063055,44
-894418.5634213,-894417.900491953,44
-894418.5629892,-894417.9004902962,44
-894417.761629,-894417.8496884621,44
-894417.9174246,-894417.8549274905,44
-894418.0685207,-894417.8625108665,44
-894418.2951023,-894417.8738156408,44
-894418.3791685,-894417.8878241285,44
-894418.4742276,-894417.8942315945,44
-894414.1628012,-894417.7120012634,44
-894415.6699585,-894417.756989145,44
-894418.5653815,-894417.8805037163,44
-894418.5805482,-894417.8860051712,44
-894418.5823657,-894417.8883292213,44
-894418.5918777,-894417.8889637504,44
-894418.5950625,-894417.8897781963,44
-894418.5976238,-894417.8900444413,44
-894418.6000112,-894417.8908163427,44
-894418.6032657,-894417.8918921176,44
-894418.6006462,-894417.8918921194,44
-894418.5836902,-894417.89220077,44
-894416.3989611,-894417.7982160185,44
-894418.6011995,-894417.8921198728,44
-894418.6018016,-894417.8921744332,44
-894418.6023945,-894417.8922864551,44
-894418.6028843,-894417.892367148,44
-894418.6032177,-894417.892470155,44
-894418.6035154,-894417.8925407702,44
-894418.6039651,-894417.892573604,44
-894418.6041809,-894417.892616969,44
-894418.6044327,-894417.892624816,44
-894418.6045355,-894417.8926171112,44
-894417.0346931,-894417.8144573912,44
-894418.6046361,-894417.8926203372,44
-894418.6053701,-894417.892629151,44
-894418.605442,-894417.8926420995,44
-894418.6055073,-894417.8926709256,44
-894418.605601,-894417.8927007501,44
-894418.6056759,-894417.8927085388,44
-894418.6057083,-894417.8927214618,44
-894418.605739,-894417.8927651024,44
-894418.6057687,-894417.8928489944,44
-894418.6057941,-894417.8929266571,44
-894417.8265121,-894417.835221567,44
-894418.6058108,-894417.8929699912,44
-894418.6052596,-894417.8929834912,44
-894418.2373009,-894417.8508996089,44
-894418.376041,-894417.856144246,44
-894418.4690848,-894417.8615256754,44
-894418.5163888,-894417.8673682163,44
-894418.5481088,-894417.8732126445,44
-894414.0287748,-894417.7153047839,44
-894415.3938022,-894417.7742239904,44
-894418.5214859,-894417.8925494773,44
-894418.5395268,-894417.8957771028,44
-894418.5528902,-894417.8986447812,44
-894418.563489,-894417.9005192943,44
-894418.568229,-894417.9006043811,44
-894418.5697125,-894417.9007047574,44
-894418.570371,-894417.9007481972,44
-894418.5711028,-894417.9007278873,44
-894418.5659634,-894417.9007278873,44
-894418.5659634,-894417.9007278873,44
-894416.9873877,-894417.8340040334,44
-894418.5388738,-894417.9002482917,44
-894418.5651628,-894417.9007293495,44
-894418.566193,-894417.9007326959,44
-894418.5662829,-894417.9007229714,44
-894418.5663978,-894417.9007272789,44
-894418.5665777,-894417.9007168483,44
-894418.5666778,-894417.9007126163,44
-894418.5668425,-894417.9007302179,44
-894418.5669809,-894417.90075327,44
-894418.5670627,-894417.9007766678,44
-894417.1820701,-894417.8363423527,44
-894418.5671309,-894417.9007918132,44
-894418.56715,-894417.9008225789,44
-894418.5668291,-894417.9008326108,44
-894417.3933129,-894417.842971011,44
-894417.9186125,-894417.8593161019,44
-894418.1876877,-894417.8712721695,44
-894418.2702233,-894417.8783832403,44
-894418.3938247,-894417.8831635906,44
-894418.485911,-894417.8911831648,44
-940189.5022873,-940193.1914299796,43
-940190.7433923,-940193.2386467924,43
-940193.9625898,-940193.3500019528,43
-940193.969401,-940193.3504143211,43
-940193.9773791,-940193.3501426841,43
-940193.9797805,-940193.3491401335,43
-940193.9799338,-940193.3484265722,43
-940193.9819796,-940193.3484449877,43
-940193.9830087,-940193.3483277296,43
-940193.9833842,-940193.3481187529,43
-940193.9862196,-940193.3481187529,43
-940193.9587063,-940193.347051344,43
-940193.0819992,-940193.3044373764,43
-940193.985775,-940193.3479890849,43
-940193.986756,-940193.3481080116,43
-940193.9869327,-940193.3479831471,43
-940193.9870716,-940193.3479673882,43
-940193.9872701,-940193.3479367584,43
-940193.9874216,-940193.3479158394,43
-940193.9874818,-940193.3478742831,43
-940193.987524,-940193.3477804968,43
-940193.9875555,-940193.3476714578,43
-940193.9860271,-940193.3476636856,43
-940193.4510669,-940193.3119299776,43
-940193.5494797,-940193.3217671271,43
-940193.7096151,-940193.3386041863,43
-940193.7833622,-940193.3487412775,43
-940193.8761347,-940193.3496706898,43
-940193.9328616,-940193.349418544,43
-940193.9581843,-940193.3488469425,43
-940189.2380671,-940193.19786142,43
-940191.4094553,-940193.245990008,43
-940193.9798273,-940193.3495306644,43
-940193.9924677,-940193.3513556868,43
-940194.0156315,-940193.352961093,43
-940194.0170146,-940193.3539971719,43
-940194.0216136,-940193.3542436272,43
-940194.0294803,-940193.3544322291,43
-940194.0314635,-940193.3548053671,43
-940194.0256614,-940193.3548053687,43
-940194.0065062,-940193.3542960864,43
-940194.0294569,-940193.3548784016,43
-940192.3536151,-940193.3026250819,43
-940194.0298756,-940193.3549017598,43
-940194.0305557,-940193.3549260672,43
-940194.031104,-940193.3549667597,43
-940194.0314805,-940193.3549943315,43
-940194.0317385,-940193.3550072763,43
-940194.0319821,-940193.3550080203,43
-940194.0321047,-940193.3549878602,43
-940194.0322142,-940193.3549720705,43
-940194.032282,-940193.3549689502,43
-940194.031158,-940193.3549710099,43
-940192.7736566,-940193.3119420351,43
-940194.0312187,-940193.3549796029,43
-940194.0311354,-940193.3549896991,43
-940194.0311567,-940193.35502378,43
-940194.0312092,-940193.3550350652,43
-940194.0312388,-940193.3550423951,43
-940194.0312637,-940193.3550477262,43
-940194.0312757,-940193.355053505,43
-940194.0312973,-940193.3550700189,43
-940194.0313178,-940193.3550889478,43
-940194.0256614,-940193.3548053671,43
-940192.9709063,-940193.3166787601,43
